Artistas,Composición,Género,Nacionalidad,Género musical,Debut
Hippie Sabotage,Banda,M,Estados Unidos,Electrónica,2013
Hot chip,Banda,M,Reino Unido,Electrónica,2000
Ital,Solista,M,Chile,Electrónica,2001
Jack Ü,Banda,M,Estados Unidos,Electrónica,2013
Joachim Garraud,Solista,M,Francia,Electrónica,1988
John Summit,Solista,M,Estados Unidos,Electrónica,2023
Jordan Ferrer,Solista,M,Chile,Electrónica,2014
Julio Victoria,Solista,M,Colombia,Electrónica,2010
Jungle,Banda,M,Reino Unido,Electrónica,2014
Kasablanca,Banda,M,Estados Unidos,Electrónica,2020
Kaskade,Solista,M,Estados Unidos,Electrónica,2001
Kaytranada,Solista,M,Canadá,Electrónica,2010
Kid Cudi,Solista,M,Estados Unidos,Electrónica,2007
Kill the Noise,Solista,M,Estados Unidos,Electrónica,2015
KSHMR,Solista,M,Estados Unidos,Electrónica,2014
Kungs,Solista,M,Francia,Electrónica,2016
Kygo,Solista,M,Noruega,Electrónica,2014
Lance Herbstrong,Solista,M,Estados Unidos,Electrónica,2012
Latin Bitman,Solista,M,Chile,Electrónica,2007
LCD Soundsystem,Banda,M,Estados Unidos,Electrónica,2002
Loud Luxury,Banda,M,Canadá,Electrónica,2012
Louis the child,Banda,M,Estados Unidos,Electrónica,2013
Marshmello,Solista,M,Estados Unidos,Electrónica,2015
Martin Garrix,Solista,M,Países Bajos,Electrónica,2012
Mawashi,Banda,M,Chile,Electrónica,2007
Maxi Trusso,Solista,M,Argentino,Electrónica,1998
Metronomy,Banda,M,Reino Unido,Electrónica,1999
Mitu,Banda,M,Colombia,Electrónica,2012
Nakeye,Solista,M,Chile,Electrónica,2020
New Kids on the Noise,Banda,M,Chile,Electrónica,1984
Nghtmre,Solista,M,Estados Unidos,Electrónica,2014
Nicky Romero,Solista,M,Países Bajos,Electrónica,2008
Nicola Cruz,Solista,M,Ecuador,Electrónica,2010
Odesza,Banda,M,Estados Unidos,Electrónica,2012
Oliver Heldens,Solista,M,Países Bajos,Electrónica,2013
Omar Varela,Solista,M,Argentina,Electrónica,2015
Overmono,Banda,M,Reino Unido,Electrónica,2015
Polo & Pan,Banda,M,Francia,Electrónica,2013
Poncho,Banda,M,Argentina,Electrónica,2009
Porter Robinson,Solista,M,Estados Unidos,Electrónica,2010
Pretty Lights,Solista,M,Estados Unidos,Electrónica,2006
Ritmo Machine,Banda,M,Estados Unidos,Electrónica,2011
RL Grime,Solista,M,Estados Unidos,Electrónica,2012
Rod Valdes,Solista,M,Chile,Electrónica,2016
Roman & Casto,Banda,M,Chile,Electrónica,2012
Rudimental,Banda,M,Reino Unido,Electrónica,2012
Rufus du sol,Banda,M,Australia,Electrónica,2010
San Holo,Solista,M,Países Bajos,Electrónica,2015
Sanfuentes,Solista,M,Chile,Electrónica,2012
Satori,Solista,M,Países Bajos,Electrónica,2012
SBTRKT,Solista,M,Reino Unido,Electrónica,2011
Shiba San,Solista,M,Francia,Electrónica,2014
Shoot the radio,Banda,M,Argentina,Electrónica,2015
Sistek,Solista,M,Chile,Electrónica,2015
Skrillex,Solista,M,Estados Unidos,Electrónica,2007
Soul & Senses,Banda,M,Chile,Electrónica,2010
Steve Aoki,Solista,M,Estados Unidos,Electrónica,2012
Subhira,Solista,M,Chile,Electrónica,1990
Surtek Collective,Banda,M,Puerto Rico,Electrónica,2005
Tchami,Solista,M,Francia,Electrónica,2013
The Blaze,Banda,M,francia,Electrónica,2016
The Bloody Beetroots,Solista,M,Italia,Electrónica,2006
The Chainsmokers,Banda,M,Estados Unidos,Electrónica,2012
The Crystal Method,Banda,M,Estados Unidos,Electrónica,1993
The temper trap,Banda,M,Australia,Electrónica,2005
Thievery Corporation,Banda,M,Estados Unidos,Electrónica,1995
Thomas Jack,Solista,M,Australia,Electrónica,2013
Toro y Moi,Solista,M,Estados Unidos,Electrónica,2010
Toy Selectah,Solista,M,México,Electrónica,1986
Tumu Tapu,Solista,M,Chile,Electrónica,2012
Valentino Khan,Solista,M,Estados Unidos,Electrónica,2014
Vives y Forero ,Banda,M,Chile,Electrónica,2012
What so not,Solista,M,Australiano,Electrónica,2011
Whethan,Solista,M,Estados Unidos,Electrónica,2015
Wolfgang Gartner,Solista,M,Estados Unidos,Electrónica,2011
Years & Years,Banda,M,Reino Unido,Electrónica,2010
Yellow Claw,Banda,M,Países Bajos,Electrónica,2010
Zedd,Solista,M,Alemania,Electrónica,2010
Zeds dead,Banda,M,Canadá,Electrónica,2009
Zeta Bosio,Solista,M,Argentina,Electrónica,2007
