Artistas,Composición,Género,Nacionalidad,Género musical,Debut
Calvin Harris,Solista,M,Reino Unido,Electrónica,2007
Cami,Solista,F,Chile,Pop,2016
Camila Cabello,Solista,F,Estados Unidos,Pop,2017
Camila Moreno,Solista,F,Chile,Rock,2009
Camileazy,Solista,M,Chile,Trap,2010s
Candelabro,Banda,M,Chile,Rock,2021
Candlebox,Banda,M,Estados Unidos,Rock,1991
Cansei de Ser Sexy,Banda,F,Brasil,Dance Punk,2003
Cantando aprendo a hablar,Banda,F,Chile,Infantil,2012
Capital Cities,Banda,M,Estados Unidos,Pop,2010
Caramelos de cianuro,Banda,M,Venezuela,Rock ,1991
Caribou,Solista,M,Canad{a,Electrónica,2001
Carla Morrison,Solista,F,México,Pop,2009
Cat Power,Solista,F,Estados Unidos,Folk,1990
Catana,Solista,F,Chile,hip-hop/rap,2018
Catfish and the Bottlemen,Banda,M,Reino Unido,Rock,2007
Cease,Solista,M,Chile,Hip-hop/rap,2011
Chance the rapper,Solista,M,Estados Unidos,Hip-hop/rap,2012
Chancha vía circuito,Solista,M,Argentina,Electrónica,2005
Chancho en piedra,Banda,M,Chile,Rock,1994
Channel Tres,Solista,M,Estados Unidos,Hip-hop/rap,2018
Charlotte de Witte,Solista,F,B{elgica,Electrónica,2010
Cheat Codes,Banda,M,Estados Unidos,Electrónica,2014
Chencho Corleone,Solista,M,Puerto Rico,Reggaeton,1999
Chet Faker,Solista,M,Australia,Electrónica,2012
Chevy Metal,Banda,M,Estados Unidos,Rock,2013
Chico Trujillo,Banda,M,Chile,Cumbia,1999
Chini.png,Solista,F,Chile,Rock,2018
Chinoy,Solista,M,Chile,Pop,2009
Chris Lake,Solista,M,Reino Unido,Electrónica,2006
Chystemc,Solista,M,Chile,Hip-hop/rap,1998
Cigarbox Man,Banda,M,Chile,Blues,2010
Cimafunk,Solista,M,Cubano,Electrónica,2017
Clairo,Solista,F,Estados Unidos,Pop,2017
Clapton,Solista,M,Reino Unido,Rock,1966
Claudio Narea,Solista,M,Chile,Rock,2000
Clemente,Solista,M,Chile,Pop,2022
Cancamusa,Solista,F,Chile,Pop,2020
Código Abierto,Banda,M,Chile,Hip-hop/rap,2022
Coffeehouse,Banda,M,Chile,Rock,2011
Cold War Kids,Banda,M,Estados Unidos,Rock,2004
Cómo asesinar a Felipes,Banda,M,Chile,Hip-hop/rap,2007
Compadre,Banda,M,Chile,Rock,2015
Conan Gray,Solista,M,Estados Unidos,Pop,2020
Confío en tus amigos,Banda,M,Chile,Rock,2020
Congreso,Banda,M,Chile,Rock,1969
Conociendo Rusia,Banda,M,Argentina,Rock,2018
Cordillera,Banda,M,Chile,Electrónica,2017
Cris MJ,Solista,M,Chile,Trap,2020
Crisálida,Banda,Mixto,Chile,Rock,1997
Crosses,Banda,M,Estados Unidos,Rock,2011
Crystal Castles,Banda,Mixto,Canadá,Electrónica,2006
Cuchara,Solista,M,Chile,Infantil,
Cultura Profética,Banda,M,Puerto Rico,Reggae,1996
Cypress Hill,Banda,M,Estados Unidos,Hip-hop/rap,1988
Dalex,Solista,M,Estados Unidos,Reggaeton,2010
Damas Gratis,Banda,M,Argentina,Cumbia,2000
Damian Marley,Banda,M,Jamaica,Reggae,1996
Daniel Klauser,Solista,M,Chile,Electrónica,2011
Danny Ocean,Solista,M,Venezuela,Pop,2009
Dante Spinetta,Solista,M,Argentina,Hip-hop/rap,1991
Danzante,Banda,M,Chile,Rock,2015
Datarock,Banda,M,Noruega,Rock,2005
David Byrne,Solista,M,Reino Unido,Rock,1977
Dayglow,Solista,M,Estados Unidos,Pop,2017
De Kiruza,Banda,M,Chile,Funk,1984
De saloon,Banda,M,Chile,Rock,2003
Dead Christine,Banda,Mixto,Chile,Blues,2011
Deadmau5,Solista,M,Canadá,Electrónica,2005
Deftones,Banda,M,Estados Unidos,Metal,1988
Delic,Solista,M,Chile,Electrónica,2010
Concierto Deltimbaltum,Banda,Mixto,Chile,Show teatral,2024
Denisse Rosenthal,Solista,F,Chile,Pop,2006
Dënver ,Banda,Mixto,Chile,Pop,2004
