Artistas,Composición,Género,Nacionalidad,Género musical,Debut
Dead Christine,Banda,Mixto,Chile,Blues,2011
Deadmau5,Solista,M,Canadá,Electrónica,2005
Deftones,Banda,M,Estados Unidos,Metal,1988
Dënver ,Banda,Mixto,Chile,Pop,2004
Deorro,Solista,M,Estados Unidos,Electrónica,2012
Despertando las neuronas,Banda,Mixto,Chile,Infantil,2016
Devendra Banhart,Solista,M,Estados Unidos,Folk,2002
Devil Presley,Banda,M,Chile,Rock,2005
Die Antwoord,Banda,Mixto,Sudráfica,Electrónica,2008
Dillon Francis,Solista,M,Estados Unidos,Electrónica,2011
Dillon Francis,Solista,M,Estados Unidos,Electrónica,2010
Dimitri Vegas & Like Mike,Banda,M,Bélgica,Electrónica,2007
Dion,Solista,M,Estados Unidos,Rock,1957
DJ Caso,Solista,M,Chile,Electrónica,2010
DJ Marky,Solista,M,Estonia,Electrónica,1992
DJ Mel,Solista,M,Estados Unidos,Electrónica,
DJ Nea,Solista,M,Chile,Electrónica,
DJ Raff,Solista,M,Chile,Electrónica,1992
DJ Snake,Solista,M,Francia,Electrónica,2009
DJ Tressor,Solista,M,Chile,Electrónica,2010
DJ Who,Solista,M,Chile,Electrónica,2000
Don Diablo,Solista,M,Países Bajos,Electrónica,2003
Don Diablo,Solista,M,Países Bajos,Electrónica,2002
Donavon Frankenreiter,Solista,M,Estados Unidos,Rock,2004
Dr. Vena,Banda,M,Chile,Rock,2012
Drear mar I,Solista,M,Argentina,Reggae,2005
Drefquila,Solista,M,Chile,Trap,2014
Drunvaloop,Solista,M,Chile,Electrónica,2010
Duke Dumont,Solista,M,Reino Unido,Electrónica,2013
Duran Duran,Banda,M,Reino Unido,Rock,1978
Eagles of death metal,Banda,M,Estados Unidos,Rock,1998
Edward Sharpe and the Magnetic Zeros,Banda,Mixto,Estados Unidos,Alternativa ,2005
Ego Kill Talent,Banda,M,Brasil,Rock,2014
El Buho,Solista,M,Reino Unido,Electrónica,
El Sueño de la Casa Propia,Solista,M,Chile,Electrónica,2006
Electrodomésticos,Banda,M,Chile,Rock,1984
Elkin Robinson,Solista,M,Colombia,Folk,2010
Ellie Goulding,Solista,F,Reino Unido,Pop,2009
Eminem,Solista,M,Estados Unidos,Hip-hop/rap,1988
Empire of the Sun,Banda,M,Australia,Electrónica,2007
Enrique Icka,Solista,M,Chile,Folk,2007
Entrópica,Solista,F,Chile,Electrónica,2013
Esteman,Solista,M,Colombia,Pop,2009
Familia Chilenita Del Funk,Banda,M,Chile,Rock,1994
Fantasna,Solista,M,Chile,Electrónica,2010
Fármacos,Banda,M,Chile,Indie,2008
Fat Pablo,Solista,M,Chile,Electrónica,2012
Fatboy Slim,Solista,M,Reino Unido,DJ,1981
Feed me,Solista,M,Reino Unido,Electrónica,2011
Fernanda Arrau,Solista,F,Chile,Electrónica,2010
Fernando Milagros,Solista,M,Chile,Rock,2007
Fischerspooner,Banda,M,Estados Unidos,Electrónica,1998
Fisher,Solista,M,Australia,Electrónica,2017
Fiskales Ad-Hok,Banda,M,Chile,Punk rock,1987
Flak,Solista,M,Chile,Electrónica,2010
Florcita Motuda,Solista,M,Chile,Rock,1977
Florence and the machine,Banda,Mixto,Reino Unido,Rock,2007
Flosstradamus,Solista,M,Estados Unidos,Electrónica,2007
Flugar Zsanchos,Solista,M,Chile,Electrónica,
Flume,Solista,M,Australia,Electrónica,2011
Flux Pavilion,Solista,M,Reino Unido,Electrónica,2011
Foals,Banda,M,Reino Unido,Rock,2005
Foals,Banda,M,Reino Unido,Indie rock,2005
Föllakzoid,Banda,Mixto,Chile,Rock,2008
