Año,Artista,Composición,Género,nacionalidad,escenario,tiempo / escenario,headliner,Dia 
2012,Band of Horses,Banda,Masculino,Estados Unidos,Claro-lg Stage,60 minutos,No,domingo
2012,Bassnectar,Solista,Masculino,Estados Unidos,Perry´s Stage,75 minutos,No,Sabado
2012,BBS Paranoicos,Banda,Masculino,Chile,Claro-lg Stage,45 minutos,No,domingo
2012,Beat Calaveras,Banda,Mixto,Chile,Huntcha Stage,45 minutos,No,Sabado
2012,Bjork,Solista,Femenino,Islandia,Claro-Lg Stage,90 minutos,Si,Sabado
2012,Cage The Elephant,Banda,Masculino,Estados Unidos,Claro-Lg Stage,75 minutos,No,Sabado
2012,Calvin Harris,Solista,Masculino,Reino Unido,Perry´s Stage,90 minutos,No,Sabado
2012,Camila Moreno ,Solista,Femenino,Chile,Coca Cola Stage,45 minutos,No,domingo
2012,Crosses,Banda,Masculino,Estados Unidos,Alternative Stage,60 minutos,No,Sabado
2012,Dion,Banda,Masculino,Chile,Huntcha Stage,45 minutos,No,Sabado
2012,El Sueño de la Casa Propia,Banda,Masculino,Chile,Perry´s Stage,45 minutos,No,Sabado
2012,Electrodomesticos,Banda,Mixto,Chile,Alternative Stage,60 minutos,No,Sabado
2012,Fernando Milagros,Solista,Masculino,Chile,Huntcha Stage,45 minutos,No,domingo
2012,Follazkoid,Banda,Mixto,Chile,Huntcha Stage,45 minutos,No,Sabado
2012,Foo Fighters,Banda,Masculino,Estados Unidos,Claro-lg Stage,150 minutos,Si,Domingo
2012,Foster the People,Banda,Masculino,Estados Unidos,Claro-lg Stage,60 minutos,No,domingo
2012,Friendly Fires,Banda,Masculino,Reino Unido,Coca Cola Stage,60 minutos,No,domingo
2012,Gentleman,Solista,Masculino,Alemania,Claro-Lg Stage,60 minutos,No,Sabado
2012,Gogol Bardello,Banda,Mixto,Estados Unidos,Coca Cola Stage,75 minutos,No,Sabado
2012,Gush,Banda,Femenino,Chile,Huntcha Stage,45 minutos,No,domingo
2012,Gustavo Cordera,Solista,Masculino,Argentina,Coca Cola Stage,60 minutos,No,Sabado
2012,Hoppo!,Banda,Masculino,Mexico,Alternative Stage,45 minutos,No,Sabado
2012,Illya Kuryaki & The Valderramas,banda,Masculino,Argentina,Alternative Stage,75 minutos,No,domingo
2012,Inti-Illimani Histórico,Banda,Masculino,Chile,Kidzapalooza,45 minutos,No,Sabado
2012,Jiminelson,Banda,Masculino,Chile,Huntcha Stage,45 minutos,No,domingo
2012,Joan Jett & The Blackhearts,Banda,Mixto,Estados Unidos,Claro-lg Stage,75 minutos,No,Domingo
2012,Juanafe,Banda,Masculino,Chile,Alternative Stage,45 minutos,No,domingo
2012,La Mala Senda,Banda,Masculino,Chile,Huntcha Stage,45 minutos,No,Sabado
2012,Los Jaivas,Banda,Mixto,Chile,Coca Cola Stage,75 minutos,No,Sabado
2012,Los Plumabits,Banda,Mixto,Chile,Kidzapalooza,45 minutos,No,Sabado
2012,Los Tetas,Banda,Masculino,Chile,Alternative Stage,60 minutos,No,Sabado
2012,Mawashi ,banda,Masculino,Chile,Perry´s Stage,45 minutos,No,domingo
2012,Mazapan,Banda,Femenino,Chile,Kidzapalooza,45 minutos,No,domingo
2012,MC Billeta,Solista,Masculino,Chile,Kidzapalooza,45 minutos,No,Sabado
2012,MGMT,Banda,Masculino,Estados Unidos,Coca Cola Stage,90 minutos,Si,domingo
2012,Morodo,Solista,Masculino,España,Alternative Stage,60 minutos,No,domingo
2012,Newen Afrobeat,Banda,Mixto,Chile,Huntcha Stage,45 minutos,No,domingo
2012,Peaches,Solista,Femenino,Canada,Alternative Stage,60 minutos,No,domingo
2012,Pedropiedra,Solista,Masculino,Chile,Claro-Lg Stage,45 minutos,No,Sabado
2012,Perry Etty v/s Chris Cox,banda,Masculino,Estados Unidos,Perry´s Stage,75 minutos,No,Domingo
2012,Plebe Rude,Banda,Masculino,Brazil,Alternative Stage,45 minutos,No,Sabado
2012,Pretty Lights,Solista,Masculino,Estados Unidos,Perry´s Stage,75 minutos,No,Sabado
2012,Pulenta,Banda,Mixto,Chile,Huntcha Stage,45 minutos,No,Sabado
2012,Ritmo Bobo,Banda,Masculino,Mixto,Perry´s Stage,60 minutos,No,Sabado
2012,Silvestre,Banda,Masculino,Chile,Huntcha Stage,75 minutos,No,Sabado
2012,Skrillex,Solista,Masculino,Estados Unidos,Perry´s Stage,90 minutos ,No,Domingo
2012,Soul And Sensses,Solista,Masculino,Chile,Perry´s Stage,60 minutos,No,Domingo
2012,Surtek Collective,Banda,Masculino,Alemania,Perry´s Stage,75 minutos,No,Sabado
2012,Systema Solar,Banda,Masculino,Colombia,Alternative Stage,45 minutos,No,domingo
2012,The Crystal Method,banda,Masculino,Estados Unidos,Perry´s Stage,60 minutos,No,Domingo
2012,Thievery Corporation,Banda,Masculino,Estados Unidos,Claro-Lg Stage,75 minutos,No,Sabado
2012,Tinieh Tempah,Solista,Masculino,Reino Unido,Perry´s Stage,60 minutos,No,Domingo
2012,TV on the Radio,Banda,Masculino,Estados Unidos,Coca Cola Stage,75 minutos,No,domingo
2012,We Are The Grand,Banda,Masculino,Chile,Huntcha Stage,45 minutos,No,domingo
2012,Yael Meyer,Solista,Femenino,Chile,Huntcha Stage,45 minutos,No,domingo
2013,A perfect Circle,Banda,Mixto,Estados Unidos,Claro Stage,75 minutos,No,domingo
2013,Agents,Banda,Mixto,Chile,Lotus Stage,60 minutos,No,domingo
2013,Alabama Shakes,Banda,Mixto,Estados Unidos,Alternative Stage,60 minutos,No,Sabado
2013,Amadau & Mariam,Banda,Mixto,Mali,Kidzapalooza,60 minutos,No,domingo
2013,Bad Brains,Banda,Masculino,Estados Unidos,Alternative Stage,60 minutos,No,domingo
2013,Banda Conmocion,Banda,Femenino,Chile,Coca Cola Stage,45 minutos,No,Sabado
2013,Cachureos,Banda,Mixto,Chile,Kidzapalooza,45 minutos ,No,Sabado
2013,Cachureos,Banda,Mixto,Chile,Kidzapalooza,45 minutos,No,domingo
2013,Carla Morrison,Solista,Femenino,Mexico,Alternative Stage,45 minutos,No,Sabado
2013,Chancho en Piedra,Banda,Masculino,Chile,Coca Cola Stage,45 minutos,No,Sabado
2013,Crystal Castles,Banda,Mixto,Canada,LG Optimus Stage,60 minutos,No,Sabado
2013,Daniel klauser,Solista,Masculino,Chile,Lg Optimus Stage,60 minutos,No,domingo
2013,De Saloon,Banda,Masculino,Chile,Coca Cola Stage,45 minutos,No,domingo
2013,DeadMau5,Solista,Masculino,Canada,Coca Cola Stage,90 minutos,No,domingo
2013,Dj Marky,Solista,Masculino,Brazil,LG Optimus Stage,75 minutos,No,Sabado
2013,Dread Mar I,Solista,Masculino,Argentina,Alternative Stage,60 minutos,No,Sabado
2013,Feed Me,Solista,Masculino,Reino Unido,Lg Optimus Stage,75 minutos,No,domingo
2013,Foals ,Banda,Masculino,Estados Unidos,Alternative Stage,60 minutos,No,domingo
2013,Franz Ferdinand,Banda,Mixto,Reino Unido,Coca Cola Stage,75 minutos,No,domingo
2013,Gary Clark Jr,Solista,Masculino,Estados Unidos,Claro Stage,60 minutos,No,domingo
2013,Gepe ,Solista,Masculino,Chile,Claro Stage,45 minutos,No,Sabado
2013,Hot Chip,Banda,Masculino,Estados Unidos,Alternative Stage,90 minutos,No,domingo
2013,Intimate Stranger,Banda,Mixto,Chile,Lotus Stage,60 minutos,No,Sabado
2013,Kaiser Chiefs,Banda,Masculino,Reino Unido,Coca Cola Stage,60 minutos,No,Sabado
2013,Kali Mutsa,Banda,Mixto,chile,Lotus Stage,60 minutos,No,domingo
2013,Kaskade,Solista,Masculino,Estados Unidos,LG Optimus Stage,90 minutos,No,Sabado
2013,Keane,Banda,Masculino,Reino Unido,Coca Cola Stage,75 minutos,No,domingo
2013,Keko Yoma,Banda,Masculino,Chile,Lotus Stage,60 minutos,No,Sabado
2013,Los Plumabits,Banda,Mixto,Chile,Kidzapalooza,45 minutos,No,Sabado
2013,Los Tres,Banda,Masculino,Chile,Claro Stage,60 minutos,No,Sabado
2013,Mago Oli,Solista,Masculino,Chile,Kidzapalooza,45 minutos,No,domingo
2013,Major Lazer,Banda,Masculino,Estados Unidos,LG Optimus Stage,90 minutos,No,Sabado
2013,Manuel Garcia,Solista,Masculino,Chile,Coca Cola Stage,45 minutos,No,domingo
2013,Marcelo D2,Solista,Masculino,Brazil,Alternative Stage,60 minutos,No,domingo
2013,Mecanico,Banda,Masculino,Chile,LG Optimus Stage,45 minutos,No,Sabado
2013,Nas,Solista,Masculino,Estados Unidos,Lg Optimus Stage,60 minutos,No,domingo
2013,Of Monsters and Men,Banda,Mixto,Islandia,Coca Cola Stage,60 minutos,No,Sabado
2013,Pascuala illabaca y la Fauna,Solista,Femenino,Chile,Lotus Stage,60 minutos,No,Sabado
2013,Passion Pit,Banda,Masculino,Estados Unidos,Alternative Stage,60 minutos,No,Sabado
2013,Pearl Jam,Banda,Masculino,Estados Unidos,Claro Stage,135 minutos,Si,Sabado
2013,Perrosky,Banda,Masculino,Chile,Claro Stage,45 minutos,No,domingo
2013,Poncho,Banda,Masculino,Argentina,Lg Optimus Stage,60 minutos,No,domingo
2013,Porter Robinson,Solista,Masculino,Estados Unidos,Lg Optimus Stage,75 minutos,No,domingo
2013,Protistas,Banda,Masculino,Chile,Lotus Stage,60 minutos,No,domingo
2013,Puscifer,Banda,Mixto,Estados Unidos,Alternative Stage,60 minutos,No,Sabado
2013,Queens Of The Stone Age,Banda,Masculino,Estados Unidos,Coca Cola Stage,90 minutos,No,Sabado
2013,Red Obivlion,Banda,Mixto,Estados Unidos,Lotus Stage,60 minutos,No,domingo
2013,Resina Lala,Banda,Mixto,Colombia,Lotus Stage,60 minutos,No,domingo
2013,Russian Red,Solista,Femenino,España,Alternative Stage,60 minutos,No,domingo
2013,Sinergia,Banda,Masculino,Chile,Kidzapalooza,45 minutos,No,Sabado
2013,Steve Aoki,Solista,Masculino,Estados Unidos,Lg Optimus Stage,90 minutos,No,domingo
2013,The Black Keys,Banda,Masculino,Estados Unidos,Claro Stage,90 minutos,Si,domingo
2013,The Hives,Banda,Masculino,Suecia,Claro Stage,75 minutos,No,Sabado
2013,The Temper Trap,Banda,Masculino,Australia,Alternative Stage,60 minutos,No,Sabado
2013,Tomahawk,Banda,Masculino,Estados Unidos,Claro Stage,75 minutos,No,domingo
2013,Toro y Moi,Solista,Masculino,Estados Unidos,Alternative Stage,60 minutos,No,domingo
2013,Transubhiriano,Banda,Mixto,Chile,Kidzapalooza,45 minutos,No,domingo
2013,Treboles,Banda,Masculino,Chile,Lotus Stage,60 minutos,No,Sabado
2013,Two Door Cinema Club Foster the People,Banda,Masculino,Reino Unido,Claro Stage,60 minutos,No,Sabado
2013,Zeds Dead,Banda,Masculino,Estados Unidos,LG Optimus Stage,75 minutos,No,Sabado
2013,Zonora Point,Banda,Masculino,Chile,Lotus Stage,60 minutos,No,Sabado
